Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 23, 2018",30.42,31.23,28.91,29.93,2692660,261737405
"Apr 22, 2018",29.89,31.06,28.74,30.41,2283560,265945548
"Apr 21, 2018",29.52,30.51,28.69,30.48,3087370,266538466
"Apr 20, 2018",28.88,30.26,28.79,29.91,3401020,261545013
"Apr 19, 2018",27.5,29.67,27.21,28.45,2838930,248818266
"Apr 18, 2018",25.93,28.08,25.86,27.16,2718860,237558072
"Apr 17, 2018",25.68,27.3,25.1,25.9,3035680,226496393
"Apr 16, 2018",26.64,27.42,24.95,25.56,2328240,223488952
"Apr 15, 2018",25.08,27.17,24.47,26.66,1997420,233139172
"Apr 14, 2018",25.42,27.26,24.58,24.8,1620140,216843549
"Apr 13, 2018",26.27,27.65,25.2,25.4,1940050,222133461
"Apr 12, 2018",20.82,26.67,20.7,26.2,2639990,229114676
"Apr 11, 2018",20.29,21.04,19.87,20.84,709957,182253173
"Apr 10, 2018",19.81,20.53,19.4,20.27,481439,177264092
"Apr 09, 2018",20.98,21.74,19.32,19.87,474316,173751185
"Apr 08, 2018",20.05,21.25,20.05,20.24,450954,177041966
"Apr 07, 2018",18.91,20.98,18.86,20.48,468791,179069081
"Apr 06, 2018",19.55,21.12,18.69,19.1,1113180,167047189
"Apr 05, 2018",19.21,20.23,18.89,19.73,496388,172573219
"Apr 04, 2018",21.65,21.67,18.97,19.49,831021,170407058
"Apr 03, 2018",21,22.49,20.13,21.55,895068,188432462
"Apr 02, 2018",19.17,20.76,19.08,20.7,1276180,181020113
"Apr 01, 2018",19.33,19.53,17.27,19.26,891152,168400057
"Mar 31, 2018",17.69,20.53,17.55,19.25,1907930,168380817
"Mar 30, 2018",19.24,19.56,17.09,17.79,1726330,155540384
"Mar 29, 2018",23.23,24.22,19.07,19.42,2162470,169787904
"Mar 28, 2018",23.92,25.09,23.21,23.25,1099070,203365598
"Mar 27, 2018",24.29,25.46,22.72,23.6,2248550,206395776
"Mar 26, 2018",23.65,27.05,22.73,24.28,4806480,212301343
"Mar 25, 2018",22.41,24.51,22.41,23.77,1164790,207893812
"Mar 24, 2018",23.45,24.61,22.61,22.71,1225170,198602141
"Mar 23, 2018",25.34,25.34,21.64,23.15,1773230,202434245
"Mar 22, 2018",26.3,26.71,23.01,25.32,2709180,221436477
"Mar 21, 2018",23.42,27.17,23.41,26.18,2896710,228953766
"Mar 20, 2018",26.16,26.4,21.31,23.36,1281650,204247104
"Mar 19, 2018",21.44,26.19,20.81,25.79,1455190,225550173
"Mar 18, 2018",21.58,22.25,16.21,21.28,3715790,186076531
"Mar 17, 2018",27.48,27.48,20.99,21.26,2103490,185908625
"Mar 16, 2018",22.39,29.16,20.88,27.37,2216640,239346446
"Mar 15, 2018",23.49,23.63,20.85,22.32,3241480,195155696
"Mar 14, 2018",26.52,27.62,22.51,23.11,1718490,202111550
"Mar 13, 2018",26.38,27.71,25.52,26.38,1464130,230675677
"Mar 12, 2018",27.32,28.6,25.37,26.35,1532070,230410700
"Mar 11, 2018",25.33,28.55,24.29,27.03,1852290,236341629
"Mar 10, 2018",26.02,27.3,25.09,25.54,2169200,223342909
"Mar 09, 2018",25.54,26.06,22.9,26.04,2685180,227754813
"Mar 08, 2018",28.01,33.92,25.15,25.67,2554400,224471027
"Mar 07, 2018",29.63,36.49,25.61,28.11,2408720,245799456
"Mar 06, 2018",35.05,35.05,29.3,29.67,1860980,259450561
"Mar 05, 2018",35.79,36.42,34.95,35.17,4304470,307603716
"Mar 04, 2018",35.36,35.78,33.28,35.78,4308390,312902373
"Mar 03, 2018",36.35,36.96,35.13,35.29,5004520,308641759
"Mar 02, 2018",33.84,36.58,33.27,36.15,6293850,316168669
"Mar 01, 2018",31.44,34.23,31.15,34,4560120,297317727
"Feb 28, 2018",34.39,36.1,31.41,31.44,5085970,274954752
"Feb 27, 2018",32.86,36.05,31.65,34.64,6152090,302939953
