Date,Open*,High,Low,Close**,Volume,Market Cap
"Nov 07, 2018",0.004664,0.004916,0.004552,0.004575,274.96,323478
"Nov 06, 2018",0.004254,0.004792,0.004225,0.004665,1312.93,337977
"Nov 05, 2018",0.004183,0.004423,0.00379,0.004237,7686.64,299331
"Nov 04, 2018",0.003763,0.004184,0.003694,0.004183,3452.32,295436
"Nov 03, 2018",0.004335,0.004335,0.003574,0.003763,3254.32,265711
"Nov 02, 2018",0.003306,0.004335,0.003233,0.004335,3350.76,305971
"Nov 01, 2018",0.003963,0.004313,0.002914,0.003306,3468.17,233282
"Oct 31, 2018",0.003664,0.004907,0.003335,0.003963,35941.1,279537
"Oct 30, 2018",0.002645,0.004044,0.002512,0.003653,21289.7,257551
"Oct 29, 2018",0.002516,0.002645,0.002377,0.002644,135.33,186379
"Oct 28, 2018",0.002459,0.002589,0.002441,0.002528,65.61,178143
"Oct 27, 2018",0.002448,0.002526,0.002378,0.002446,43.92,172303
"Oct 26, 2018",0.002445,0.002595,0.002441,0.002458,98.17,173039
"Oct 25, 2018",0.002356,0.002464,0.002322,0.002449,54.53,172359
"Oct 24, 2018",0.002539,0.002553,0.002346,0.002355,46.2,165676
"Oct 23, 2018",0.002703,0.00272,0.002515,0.002549,87.54,179277
"Oct 22, 2018",0.002917,0.002988,0.002458,0.002703,747.89,190071
"Oct 21, 2018",0.002977,0.003015,0.002898,0.002918,68.47,205119
"Oct 20, 2018",0.003075,0.003164,0.002973,0.002976,117.99,209126
"Oct 19, 2018",0.003168,0.003176,0.003005,0.003075,79.37,216002
"Oct 18, 2018",0.003141,0.003173,0.003082,0.003168,70.65,222472
"Oct 17, 2018",0.003298,0.003306,0.003118,0.003129,57.55,219623
"Oct 16, 2018",0.003297,0.003344,0.003273,0.003286,126.71,230601
"Oct 15, 2018",0.003306,0.003731,0.003269,0.0033,71.28,231470
"Oct 14, 2018",0.003303,0.003353,0.00329,0.003302,66.58,231558
"Oct 13, 2018",0.0033,0.003442,0.003295,0.003302,219.62,231440
"Oct 12, 2018",0.003287,0.00338,0.003277,0.0033,184.28,231208
"Oct 11, 2018",0.003612,0.003615,0.003272,0.003291,135.32,230503
"Oct 10, 2018",0.003305,0.003845,0.003263,0.003624,578.34,253766
"Oct 09, 2018",0.003447,0.003515,0.002971,0.003316,751.68,231463
"Oct 08, 2018",0.003356,0.003733,0.0033,0.003435,69.55,239747
"Oct 07, 2018",0.003162,0.003797,0.003146,0.003341,322.03,233204
"Oct 06, 2018",0.003485,0.003673,0.003082,0.00315,910.89,219871
"Oct 05, 2018",0.003485,0.003556,0.003466,0.003477,101.71,242671
"Oct 04, 2018",0.003444,0.003686,0.003435,0.003476,186.04,242606
"Oct 03, 2018",0.003821,0.004018,0.003405,0.003441,511.43,240123
"Oct 02, 2018",0.004157,0.004594,0.00372,0.00382,401.57,266576
"Oct 01, 2018",0.004349,0.0046,0.003969,0.004167,307.27,290836
